,id,anchor,target,context,score,input
0,37d61fd2272659b1,abatement,abatement of pollution,A47,0.5,abatement
1,7b9652b17b68b7a4,abatement,act of abating,A47,0.75,abatement
2,36d72442aefd8232,abatement,active catalyst,A47,0.25,abatement
3,5296b0c19e1ce60e,abatement,eliminating process,A47,0.5,abatement
4,54c1e3b9184cb5b6,abatement,forest region,A47,0.0,abatement
5,067203128142739c,abatement,greenhouse gases,A47,0.25,abatement
6,061d17f04be2d1cf,abatement,increased rate,A47,0.25,abatement
7,e1f44e48399a2027,abatement,measurement level,A47,0.25,abatement
8,0a425937a3e86d10,abatement,minimising sounds,A47,0.5,abatement
9,ef2d4c2e6bbb208d,abatement,mixing core materials,A47,0.25,abatement
10,4c3f2750e7540ab7,abatement,multi pollution abatement device,A47,0.5,abatement
11,84261a11e5d1b68b,abatement,noise reduction,A47,0.5,abatement
12,bfd7270f57530991,abatement,pollution abatement,A47,0.5,abatement
13,b3832eac81b73dfd,abatement,pollution abatement incinerator,A47,0.5,abatement
14,9001756895ec8ca1,abatement,pollution certificate,A47,0.0,abatement
15,cc96541d4987b399,abatement,rent abatement,A47,0.0,abatement
16,deb9204cd9783e8b,abatement,sorbent material,A47,0.25,abatement
17,45db77f26e5ac39f,abatement,source items pollution abatement technology,A47,0.5,abatement
18,1222e36d9a94c2a4,abatement,stone abutments,A47,0.0,abatement
19,a8c9e9f37d4d836a,abatement,tax abatement,A47,0.0,abatement
20,c450cc69fa315db9,abatement,water bodies,A47,0.0,abatement
21,09913d3964d4c881,abatement,emission abatement,A61,0.5,abatement
22,87af8ea095cc18d4,abatement,prevention,A61,0.5,abatement
23,d7bb1ea2b761fef2,abatement,prophylaxis,A61,0.25,abatement
24,f6dfaebab0d209b7,abatement,pollution abatement,A62,0.5,abatement
25,ee25d53aac9ecaf0,abatement,abatement apparatus,C01,0.5,abatement
26,4fd7d0a3b8887846,abatement,treatment,F16,0.0,abatement
27,506f8d0a6feae789,abatement,abatement apparatus,F24,0.5,abatement
28,473137168ebf7484,abatement,abating,F24,1.0,abatement
29,56acc49e0f5da095,abatement,central hub,F24,0.0,abatement
30,bc5af15a01442792,abatement,control panel,F24,0.0,abatement
31,c652ac20bb14b2b0,abatement,deficiency,F24,0.25,abatement
32,f0b0f0898ec291eb,abatement,diminished chord,F24,0.0,abatement
33,4bb652c1091f3d1d,abatement,diminished image,F24,0.0,abatement
34,142436708875e523,abatement,diminishing,F24,0.5,abatement
35,b539d0f45bff2213,abatement,eliminating,F24,0.5,abatement
36,fde22bfb2f89383c,abatement,eliminating emissions,F24,0.25,abatement
37,e490558573ed44ff,abatement,eliminating pollutants,F24,0.5,abatement
38,62dbb14376eb40ac,abatement,increasing,F24,0.25,abatement
39,13b13c212a1756f5,abatement,increasing order,F24,0.0,abatement
40,8524aecd17299b63,abatement,mitigation,F24,0.25,abatement
41,f1c655d247630730,abatement,pollution control,F24,0.25,abatement
42,6917b6123c373233,abatement,processing unit,F24,0.0,abatement
43,7ab0bc7f2b94c401,abatement,removing air pollutants,F24,0.5,abatement
44,4d9fb5ff45c8ab1d,abatement,subsiding,F24,0.5,abatement
45,1d4a73e6a5e56a01,abatement,treating emissions,F24,0.5,abatement
46,98a851a58d837fb0,abatement,noise abatement,F28,0.5,abatement
47,09db0a872aa1d88c,abatement,noise abatement,H01,0.5,abatement
48,6bdd1d05ffa3401e,abatement,emission abatement,H04,0.5,abatement
49,8ff16a96af7558f0,abnormal position,abnormal position data,B23,0.5,abnormal position
50,edfb98a9ff1d471b,abnormal position,attitude,B23,0.25,abnormal position
51,5fd26b0436ca8d94,abnormal position,closed position shown,B23,0.25,abnormal position
52,0d32e5f72293247d,abnormal position,condition illustrated,B23,0.25,abnormal position
53,8aedbf799717e3e7,abnormal position,condition shown,B23,0.25,abnormal position
54,856cef1a4eefc3aa,abnormal position,data,B23,0.25,abnormal position
55,285e870def5f465e,abnormal position,information,B23,0.25,abnormal position
56,903348f5bf47757f,abnormal position,inoperative condition,B23,0.5,abnormal position
57,89b44fe4b2014455,abnormal position,inoperative position,B23,0.5,abnormal position
58,bf372a0f3662e295,abnormal position,open as shown,B23,0.25,abnormal position
59,4d0b732250d2940d,abnormal position,open condition,B23,0.25,abnormal position
60,611645de95674898,abnormal position,open position,B23,0.25,abnormal position
61,b4fc3daf3fc2430b,abnormal position,open position illustrated,B23,0.25,abnormal position
62,392c5b8b62adf22d,abnormal position,open position shown,B23,0.25,abnormal position
63,0bad0cd5213fb783,abnormal position,orientation,B23,0.25,abnormal position
64,6445620272b7dd75,abnormal position,position illustrated,B23,0.25,abnormal position
65,93e12fb8f2b9ff44,abnormal position,position shown,B23,0.25,abnormal position
